Model,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Predictions
Optimized XGBoost,0.5678421332816602,1.797069317030366,0.7260116356029412,2.3748342336927495,0.9921408213604673,0.9078623601667626,"[75.245575 76.2028   89.55418  85.95057  84.83925  68.6116   70.048706
 78.971565 63.680614 67.42779  81.701256 71.64448  81.49882  72.219376
 69.68138  69.180244 76.4893   71.235886 84.20475  70.98326  70.890686
 75.352844 82.967476 94.98954  76.741875 85.35452  88.36386  78.552376
 61.439865 84.81266  86.32237  84.61102  81.39666  73.6314   75.48505
 93.56191  85.68802  83.06188  87.66469  83.15843  75.68134  78.35565
 86.15957  81.91055  64.94167  69.38198  79.43247  79.97525  86.174965
 82.14793  72.00343  80.734085 70.46915  74.60996  91.24605  81.05969
 82.34756  70.05926  94.37613  70.16283  84.96217  63.577442 69.76182
 76.389885 73.28513  73.06002  83.65477  91.36019  84.750885 79.7116
 74.57701  65.22231  75.18935  81.74562  71.93619  83.28258  81.64864
 79.10134  75.83476  80.31216  64.84341  76.261826 73.42686  73.9341
 69.10218  73.37243  73.144226 71.63355  87.04162  81.64276  83.849304
 73.598854 76.8189   74.10935  78.99001  72.728516 66.547035 79.50132
 77.60894  73.744095 87.438866 88.47737  79.5375   78.07634  66.52989
 76.75778  69.79491  80.20313  84.520706 82.72759  78.33711  83.57874
 91.39863  82.2054   68.00129  77.61721  81.70649  68.61991  76.271095
 74.17022  78.669785 93.482    76.26945  70.17847  75.66025  76.658264
 70.92272  72.20422  89.22158  73.37113  87.65889  79.159615 64.738205
 88.41365  74.72592  65.20039  74.24416  67.262    68.01754  77.00203
 92.86669  78.218575 71.24695  83.62275  68.70585  79.69012  80.43158
 76.449356 78.42112  80.269165 75.42396  76.40615  86.83497  81.73126
 86.17789  79.638275 71.322365 72.31403  74.53197  83.413994 73.02906
 82.09585  62.05675  67.00211  75.39271  65.27149  81.12345  86.97715
 79.9093   85.24515  72.352554 79.60045  73.15333  69.03945  87.03035
 72.47367  82.012344 67.46672  73.935814 69.303314 75.66172  84.971756
 63.727695 73.09688  87.36716  68.80111  75.71069  66.987015 92.12858
 85.99059  86.76805  82.4949   67.091324 71.39208  78.25887  72.51932 ]"
XGBoost,0.09263589533876435,2.00725457598307,0.12350179857526998,2.6068193176624126,0.999772575859046,0.8889822699623385,"[73.1127   76.451004 89.08885  88.625656 83.73818  68.527016 69.5463
 78.79759  66.793434 66.37422  82.65642  73.7826   81.14932  71.4074
 72.288345 70.656555 77.99928  70.37316  84.73378  69.891884 71.70091
 73.59152  82.41125  93.67365  77.45081  82.8537   86.84445  78.30898
 63.556644 85.94743  85.215515 84.016655 78.55568  75.05488  75.39949
 92.04161  83.87111  80.51305  85.83791  84.15802  76.853905 77.64916
 83.5975   80.05931  65.23085  68.905815 75.91823  79.68353  86.17437
 82.492455 72.012634 79.15966  72.650345 74.00667  89.11629  82.16195
 80.23544  69.51598  94.205505 70.63976  84.5862   65.04494  71.462814
 75.92989  72.55493  73.40465  84.6304   90.98815  84.625656 78.875404
 75.46371  64.99317  75.07551  81.75032  71.715454 83.67495  81.47029
 79.176346 75.89982  80.66035  63.963783 75.80503  72.076775 71.81272
 70.6436   72.61834  72.84312  70.981    86.779236 80.32145  82.67168
 76.01279  76.940956 73.85281  78.70112  72.75452  68.402016 80.658295
 77.67669  73.158165 87.823364 87.20443  81.029976 78.845665 68.79576
 76.380264 70.38398  79.64801  83.53081  79.801155 77.197075 83.29421
 91.421646 79.87324  67.56971  78.67579  82.27759  69.46551  76.18377
 73.71197  77.37293  93.09081  74.67422  71.14375  75.0613   75.54225
 72.318146 72.79612  86.87055  72.76557  88.59956  80.03614  67.167114
 89.140175 71.90506  66.91512  75.37785  65.123405 68.2939   77.45877
 91.74273  78.02247  72.19524  81.90557  70.00952  79.056564 81.679115
 74.30616  77.202576 80.00108  75.38803  76.24358  87.63666  82.93224
 84.911156 78.85433  72.418274 72.80962  73.19107  82.843636 73.23626
 81.31005  64.85784  66.25422  75.63344  68.20154  83.05445  87.19712
 79.975876 84.51514  73.96321  77.7588   72.72976  68.34927  87.160576
 71.5119   83.48432  67.89074  73.767494 70.68621  74.421616 84.95453
 64.36931  73.08473  87.88268  70.21631  76.42048  67.27172  90.87907
 87.0372   84.53891  82.5171   66.49021  71.67569  77.90933  71.28587 ]"
